hour,day,month,weather,vehicle_count,traffic_volume,avg_speed,road_occupancy,congestion_index,traffic_density
12,Friday,4,Rainy,162,226,48.98,8.61,8.95,Low
19,Wednesday,4,Cloudy,10,39,58.19,1.0,0.0,Low
14,Saturday,6,Rainy,79,145,45.66,16.91,8.03,Low
2,Tuesday,7,Rainy,283,435,34.61,28.14,14.31,Low
22,Friday,6,Clear,30,63,53.18,8.74,11.65,Low
7,Tuesday,1,Clear,494,763,36.06,53.11,27.32,Low
19,Thursday,12,Clear,10,20,66.11,7.31,7.99,Low
15,Monday,8,Clear,19,20,57.26,7.95,5.65,Low
12,Saturday,10,Rainy,196,270,44.45,17.65,8.59,Low
17,Tuesday,11,Rainy,10,20,47.74,1.0,0.0,Low
9,Monday,7,Rainy,392,581,33.37,34.04,18.13,Low
18,Friday,6,Foggy,10,20,53.8,1.0,2.14,Low
16,Monday,6,Cloudy,10,38,59.93,10.56,8.75,Low
23,Saturday,5,Foggy,151,234,32.6,14.72,9.02,Low
18,Tuesday,6,Rainy,10,20,54.35,1.84,1.23,Low
22,Thursday,12,Rainy,71,98,51.53,14.41,6.5,Low
4,Sunday,9,Clear,466,687,37.57,52.33,25.24,Low
20,Friday,10,Clear,10,20,62.84,1.49,0.0,Low
22,Tuesday,9,Clear,98,175,50.93,14.0,11.93,Low
8,Saturday,10,Cloudy,482,701,33.22,55.0,28.92,Low
11,Friday,8,Foggy,329,499,37.1,36.06,19.4,Low
20,Wednesday,10,Clear,10,64,64.6,1.0,0.05,Low
0,Monday,9,Clear,184,266,53.54,20.84,11.34,Low
0,Sunday,10,Foggy,209,342,33.14,28.69,18.48,Low
14,Saturday,8,Clear,10,32,54.3,10.02,5.39,Low
1,Wednesday,8,Clear,258,396,47.67,30.13,17.7,Low
21,Tuesday,1,Cloudy,10,27,57.4,4.89,8.44,Low
15,Thursday,10,Clear,10,20,59.0,2.46,0.47,Low
7,Friday,11,Clear,484,727,31.78,53.34,28.5,Low
12,Monday,5,Rainy,130,178,47.68,17.02,12.53,Low
20,Friday,4,Cloudy,10,20,57.05,7.06,9.77,Low
0,Sunday,2,Rainy,241,343,41.4,22.35,9.86,Low
15,Tuesday,8,Clear,70,135,59.47,1.0,0.0,Low
6,Friday,3,Clear,522,732,32.53,55.33,30.74,Low
4,Monday,4,Clear,459,702,34.61,52.06,28.61,Low
21,Tuesday,12,Rainy,10,25,57.04,5.46,6.58,Low
22,Friday,7,Foggy,124,193,38.01,8.83,8.69,Low
2,Thursday,10,Clear,362,573,39.55,27.78,16.32,Low
11,Saturday,9,Cloudy,287,421,48.82,29.34,19.87,Low
15,Tuesday,2,Clear,10,22,56.76,1.0,0.22,Low
18,Saturday,3,Clear,10,20,59.01,1.0,2.83,Low
4,Tuesday,4,Clear,494,728,33.24,51.11,24.92,Low
21,Thursday,10,Clear,10,40,50.58,5.45,4.57,Low
13,Saturday,1,Rainy,203,264,41.23,22.95,9.51,Low
4,Wednesday,7,Rainy,530,799,20.45,60.62,31.85,Low
14,Monday,2,Clear,32,27,59.67,1.78,7.69,Low
16,Wednesday,5,Rainy,10,20,57.03,1.0,0.0,Low
13,Friday,1,Clear,21,20,47.88,1.0,1.94,Low
19,Thursday,3,Foggy,10,20,45.47,3.61,6.48,Low
4,Wednesday,12,Cloudy,496,755,34.46,47.65,33.39,Low
11,Tuesday,2,Clear,293,438,34.43,40.81,23.84,Low
15,Friday,1,Rainy,12,36,58.08,4.21,4.53,Low
15,Friday,7,Clear,10,38,61.4,1.0,2.25,Low
20,Wednesday,5,Clear,10,51,64.92,5.18,7.3,Low
6,Wednesday,1,Clear,568,856,28.78,69.22,39.38,Medium
3,Thursday,6,Foggy,407,648,25.43,43.57,23.99,Low
0,Monday,5,Rainy,136,174,44.4,14.03,12.61,Low
4,Wednesday,3,Clear,454,708,47.99,57.91,29.65,Low
22,Sunday,12,Foggy,11,30,54.04,11.82,2.96,Low
9,Wednesday,7,Rainy,428,648,31.26,47.7,22.26,Low
21,Saturday,11,Foggy,10,28,48.77,1.0,1.95,Low
4,Tuesday,10,Rainy,486,700,30.87,51.65,29.37,Low
3,Sunday,9,Rainy,351,490,46.41,44.17,27.1,Low
1,Sunday,9,Clear,255,433,49.16,23.18,15.55,Low
19,Saturday,9,Clear,10,20,59.73,1.0,2.41,Low
9,Saturday,2,Cloudy,344,510,38.11,39.69,25.5,Low
18,Friday,3,Clear,10,20,60.67,1.0,2.19,Low
0,Monday,7,Cloudy,209,269,43.61,28.7,12.77,Low
23,Tuesday,5,Rainy,136,201,47.68,18.58,6.86,Low
4,Thursday,2,Clear,435,642,31.09,58.38,36.24,Medium
12,Sunday,3,Clear,186,279,49.4,24.57,7.58,Low
3,Thursday,10,Clear,438,659,41.77,43.86,23.72,Low
15,Wednesday,6,Cloudy,30,119,57.35,5.99,13.68,Low
23,Wednesday,7,Clear,68,91,54.29,12.5,9.47,Low
15,Thursday,9,Clear,10,62,58.34,6.31,4.24,Low
22,Wednesday,1,Clear,125,236,58.93,10.0,1.65,Low
1,Monday,11,Clear,271,429,40.4,25.63,20.14,Low
16,Saturday,7,Clear,10,20,53.48,1.0,6.01,Low
19,Wednesday,8,Clear,10,20,54.85,9.13,8.44,Low
23,Friday,12,Foggy,114,185,42.25,15.78,10.26,Low
11,Wednesday,3,Clear,329,524,36.77,32.45,20.66,Low
17,Tuesday,4,Clear,10,67,64.27,1.75,1.98,Low
2,Monday,10,Clear,359,510,37.43,39.27,19.39,Low
0,Tuesday,6,Clear,150,217,53.62,11.8,10.64,Low
0,Tuesday,10,Cloudy,249,345,41.65,27.85,16.17,Low
18,Friday,7,Rainy,10,20,51.17,2.06,4.55,Low
10,Monday,4,Clear,324,505,35.78,45.66,25.26,Low
4,Monday,8,Rainy,491,716,32.46,51.28,30.11,Low
11,Monday,5,Clear,175,237,46.44,10.9,7.56,Low
2,Monday,1,Clear,358,560,36.77,34.53,19.71,Low
0,Monday,4,Cloudy,148,235,61.5,11.98,7.71,Low
0,Friday,3,Foggy,200,310,40.77,20.09,21.38,Low
7,Wednesday,9,Cloudy,472,688,38.21,47.21,28.63,Low
9,Tuesday,8,Clear,517,814,36.44,61.56,41.28,Medium
10,Monday,1,Rainy,330,495,33.24,31.09,18.53,Low
11,Sunday,11,Clear,369,624,35.02,41.1,22.48,Low
12,Wednesday,6,Clear,229,348,47.06,35.45,16.63,Low
11,Wednesday,9,Foggy,237,285,31.26,29.1,22.56,Low
13,Tuesday,7,Clear,138,135,48.51,17.59,8.14,Low
1,Friday,4,Foggy,262,411,26.98,38.4,28.33,Low
18,Thursday,1,Rainy,10,54,52.07,7.34,2.54,Low
17,Thursday,12,Clear,10,20,67.37,3.94,6.11,Low
2,Wednesday,2,Rainy,434,714,33.09,46.67,21.58,Low
22,Saturday,12,Rainy,96,193,46.67,10.55,6.09,Low
16,Saturday,5,Clear,10,21,59.3,1.0,2.25,Low
7,Tuesday,12,Foggy,576,880,5.0,61.99,49.2,Medium
9,Thursday,11,Rainy,415,649,29.13,47.17,26.51,Low
1,Wednesday,5,Clear,332,554,36.27,38.64,21.59,Low
18,Friday,8,Rainy,10,35,52.17,1.0,4.84,Low
8,Thursday,6,Cloudy,479,724,31.75,61.38,27.58,Low
6,Wednesday,8,Clear,495,762,30.9,57.05,30.07,Low
3,Wednesday,2,Foggy,416,640,27.76,44.91,29.82,Low
20,Monday,3,Clear,10,42,60.02,2.22,4.46,Low
17,Friday,6,Foggy,10,20,55.09,5.76,8.51,Low
12,Monday,12,Rainy,179,277,46.48,12.56,10.71,Low
10,Tuesday,10,Clear,339,522,44.13,37.14,17.59,Low
23,Monday,3,Clear,133,197,48.61,8.85,8.46,Low
3,Sunday,6,Foggy,410,638,22.13,58.84,34.24,Low
20,Monday,6,Clear,10,72,62.49,1.8,9.31,Low
3,Sunday,2,Rainy,454,685,28.3,44.56,28.22,Low
9,Thursday,7,Clear,402,623,41.15,62.66,35.33,Medium
4,Saturday,12,Cloudy,528,840,35.49,55.99,32.82,Low
8,Wednesday,2,Rainy,553,834,16.78,60.4,37.56,Medium
23,Sunday,6,Cloudy,20,20,62.99,1.54,3.68,Low
2,Friday,1,Clear,396,612,45.05,39.76,21.3,Low
16,Monday,3,Rainy,10,20,41.23,2.35,5.21,Low
2,Sunday,2,Rainy,390,516,44.27,32.28,21.24,Low
15,Friday,7,Clear,49,83,59.16,10.87,10.31,Low
3,Saturday,4,Clear,368,481,39.21,35.25,22.99,Low
17,Saturday,8,Clear,10,20,62.1,1.0,6.63,Low
16,Monday,6,Rainy,10,20,46.61,4.87,7.95,Low
6,Tuesday,12,Rainy,506,737,29.43,55.2,32.88,Low
23,Monday,10,Clear,38,52,54.13,3.4,0.12,Low
22,Thursday,4,Rainy,176,297,53.3,14.5,5.69,Low
4,Sunday,5,Clear,491,743,35.75,65.03,34.57,Low
11,Wednesday,9,Clear,311,441,47.7,37.21,20.84,Low
16,Tuesday,7,Cloudy,10,55,52.57,1.0,6.6,Low
22,Monday,10,Cloudy,20,20,60.08,3.11,0.0,Low
12,Friday,9,Rainy,206,315,41.64,17.12,7.86,Low
22,Tuesday,7,Clear,10,20,52.44,9.72,6.19,Low
2,Sunday,12,Foggy,319,486,30.86,36.44,18.47,Low
8,Tuesday,1,Clear,479,708,45.71,48.34,23.97,Low
16,Sunday,12,Clear,10,47,63.79,4.6,2.37,Low
16,Monday,8,Clear,10,36,57.61,1.0,0.0,Low
19,Sunday,4,Rainy,10,20,42.15,1.0,0.55,Low
15,Tuesday,3,Rainy,10,20,47.34,3.02,7.71,Low
21,Friday,7,Clear,16,20,52.17,3.54,5.53,Low
12,Saturday,12,Rainy,237,411,30.92,32.02,21.54,Low
18,Tuesday,3,Cloudy,10,63,60.43,1.43,2.27,Low
16,Sunday,8,Clear,10,20,59.81,1.65,5.53,Low
3,Saturday,6,Rainy,442,687,38.88,49.91,30.07,Low
11,Sunday,5,Cloudy,372,506,33.41,49.31,29.44,Low
8,Friday,4,Clear,465,684,36.74,50.12,25.82,Low
18,Sunday,8,Clear,10,20,52.53,3.46,2.31,Low
11,Monday,8,Rainy,308,494,33.63,37.31,24.8,Low
8,Wednesday,12,Rainy,448,633,28.49,51.53,27.72,Low
6,Tuesday,1,Foggy,592,900,16.53,64.04,34.2,Low
13,Wednesday,9,Clear,178,267,51.37,20.38,10.53,Low
19,Sunday,5,Cloudy,10,20,61.36,1.0,6.81,Low
18,Friday,4,Clear,10,65,63.83,10.91,5.42,Low
14,Tuesday,6,Clear,29,96,54.7,1.0,3.31,Low
15,Sunday,6,Rainy,22,28,50.75,1.0,0.62,Low
20,Saturday,2,Clear,10,20,63.47,1.08,4.41,Low
4,Thursday,8,Clear,536,758,38.38,59.17,33.8,Low
2,Sunday,7,Clear,341,511,39.64,38.87,17.49,Low
11,Wednesday,1,Clear,292,496,48.94,30.16,17.93,Low
19,Tuesday,5,Clear,10,20,61.16,1.66,0.0,Low
20,Wednesday,12,Cloudy,10,36,51.17,1.76,1.17,Low
3,Tuesday,6,Clear,389,541,44.55,47.75,26.09,Low
20,Sunday,4,Rainy,10,20,52.26,1.58,8.24,Low
22,Monday,2,Foggy,87,144,34.94,10.18,8.91,Low
15,Saturday,4,Cloudy,10,20,55.03,3.69,1.36,Low
6,Sunday,1,Clear,443,689,38.05,53.56,28.46,Low
12,Wednesday,7,Cloudy,276,395,40.17,25.75,18.14,Low
20,Thursday,2,Rainy,10,20,57.64,1.0,0.0,Low
9,Thursday,2,Rainy,423,668,37.17,55.48,33.72,Low
6,Friday,9,Rainy,524,757,23.89,61.74,33.49,Low
13,Tuesday,5,Foggy,59,103,42.59,5.46,2.33,Low
4,Wednesday,2,Clear,482,736,35.24,53.65,28.19,Low
2,Friday,11,Rainy,354,481,33.3,37.37,16.84,Low
22,Wednesday,9,Rainy,17,56,48.19,2.95,0.0,Low
10,Tuesday,9,Foggy,292,421,14.86,27.59,20.28,Low
10,Sunday,1,Cloudy,380,571,46.77,46.42,25.15,Low
17,Sunday,11,Clear,10,20,59.5,1.99,3.44,Low
14,Thursday,3,Cloudy,58,135,53.21,7.5,5.37,Low
11,Sunday,4,Clear,205,347,51.38,18.31,18.09,Low
8,Sunday,7,Clear,406,554,39.3,47.73,26.92,Low
9,Monday,10,Clear,390,652,38.35,38.98,17.97,Low
11,Thursday,4,Clear,355,512,37.22,35.98,17.32,Low
16,Friday,2,Rainy,10,78,42.31,1.55,3.14,Low
5,Saturday,7,Clear,466,691,29.93,64.31,34.19,Low
6,Monday,6,Clear,416,613,33.62,47.08,22.83,Low
13,Friday,3,Cloudy,89,126,55.8,1.0,2.12,Low
12,Tuesday,6,Foggy,138,194,44.72,12.12,8.16,Low
7,Monday,11,Foggy,439,734,21.64,52.2,35.51,Medium
9,Friday,6,Cloudy,418,624,22.78,40.8,22.04,Low
8,Tuesday,12,Rainy,439,649,30.1,52.93,28.54,Low
17,Thursday,5,Clear,10,20,57.39,1.91,7.47,Low
1,Saturday,4,Clear,331,467,41.22,41.73,24.28,Low
4,Tuesday,10,Rainy,429,691,35.33,44.87,22.5,Low
4,Sunday,12,Clear,413,575,40.04,42.7,21.71,Low
5,Wednesday,1,Rainy,558,818,19.22,64.82,33.97,Low
18,Tuesday,10,Clear,10,43,53.47,1.07,2.64,Low
7,Tuesday,6,Clear,380,571,39.69,41.88,26.55,Low
15,Saturday,2,Rainy,10,31,46.97,8.96,11.5,Low
12,Wednesday,3,Rainy,187,326,42.29,23.8,9.81,Low
0,Sunday,8,Rainy,232,378,45.53,15.83,12.72,Low
21,Friday,10,Rainy,85,131,40.85,13.44,9.66,Low
19,Friday,6,Clear,10,77,59.94,4.61,3.19,Low
16,Tuesday,3,Clear,10,20,64.08,7.04,3.83,Low
6,Wednesday,7,Cloudy,528,788,30.17,53.97,24.54,Low
12,Wednesday,4,Rainy,269,402,42.16,31.51,20.04,Low
3,Sunday,9,Clear,396,590,38.76,44.56,20.9,Low
3,Saturday,5,Foggy,376,531,30.05,36.99,19.58,Low
5,Thursday,3,Clear,467,652,38.85,56.62,32.14,Low
18,Friday,2,Clear,10,27,56.64,1.0,0.0,Low
11,Saturday,11,Clear,254,361,57.25,33.99,14.78,Low
21,Monday,2,Rainy,10,72,54.39,1.0,5.99,Low
6,Friday,3,Rainy,501,749,33.46,48.36,27.54,Low
9,Saturday,2,Clear,408,604,44.96,44.12,22.3,Low
18,Friday,4,Cloudy,10,47,58.14,2.27,3.23,Low
6,Thursday,2,Clear,476,726,43.13,50.22,29.44,Low
2,Monday,10,Clear,328,486,44.54,21.12,16.18,Low
12,Thursday,9,Clear,239,339,44.4,28.47,13.15,Low
12,Sunday,2,Clear,150,334,52.57,18.56,8.11,Low
17,Monday,9,Clear,10,25,54.47,4.55,5.93,Low
19,Tuesday,6,Rainy,10,47,40.99,1.0,4.86,Low
7,Saturday,1,Foggy,532,767,17.14,56.94,30.27,Low
8,Monday,4,Rainy,454,663,29.66,57.65,29.23,Low
6,Sunday,1,Clear,434,714,43.61,40.35,21.88,Low
0,Sunday,6,Clear,242,404,43.62,25.65,15.19,Low
2,Thursday,4,Clear,322,496,48.95,36.49,20.44,Low
12,Friday,3,Clear,156,222,46.15,20.36,8.27,Low
16,Monday,3,Foggy,10,20,42.9,1.96,3.44,Low
23,Saturday,9,Clear,196,273,57.45,17.17,8.17,Low
0,Monday,6,Rainy,180,235,43.24,25.84,11.73,Low
5,Wednesday,9,Cloudy,518,804,30.23,57.57,32.06,Low
20,Friday,5,Clear,10,31,60.68,1.0,1.81,Low
5,Saturday,2,Foggy,511,788,16.42,57.82,37.41,Medium
11,Saturday,8,Rainy,341,501,33.3,40.27,20.55,Low
12,Tuesday,5,Rainy,164,253,43.81,28.03,17.0,Low
12,Thursday,2,Rainy,147,207,50.81,18.38,6.45,Low
14,Tuesday,4,Clear,10,20,51.15,1.0,1.63,Low
20,Saturday,9,Clear,10,65,68.31,1.0,3.35,Low
15,Friday,4,Clear,10,20,58.88,7.4,7.04,Low
21,Monday,12,Clear,10,30,53.95,1.0,4.02,Low
20,Monday,12,Rainy,10,40,45.04,1.0,5.13,Low
10,Friday,12,Clear,400,604,41.37,49.45,25.8,Low
4,Saturday,4,Cloudy,474,718,26.56,50.29,30.4,Low
3,Sunday,2,Rainy,391,553,29.65,48.18,33.07,Low
2,Monday,12,Clear,370,528,40.25,36.54,19.35,Low
18,Sunday,6,Clear,10,20,65.22,8.48,9.91,Low
19,Monday,11,Cloudy,10,33,61.59,5.47,6.99,Low
17,Monday,2,Foggy,10,20,44.29,1.0,1.96,Low
14,Thursday,12,Rainy,56,57,48.14,1.0,2.03,Low
8,Thursday,7,Clear,480,737,28.02,64.86,36.35,Medium
16,Wednesday,3,Clear,10,31,49.3,1.0,4.99,Low
13,Tuesday,3,Clear,179,247,44.9,16.08,11.47,Low
14,Friday,5,Clear,141,210,58.57,22.6,11.58,Low
0,Friday,3,Foggy,119,194,45.95,17.95,4.91,Low
20,Friday,2,Rainy,10,20,53.42,7.03,7.4,Low
21,Wednesday,10,Rainy,10,31,44.21,1.0,0.0,Low
21,Thursday,9,Cloudy,10,24,52.94,10.52,3.05,Low
2,Saturday,2,Rainy,444,636,25.51,42.78,24.1,Low
15,Sunday,11,Clear,10,21,58.67,1.0,0.0,Low
22,Sunday,2,Clear,119,189,52.9,15.17,10.43,Low
10,Saturday,8,Cloudy,247,351,39.64,33.29,18.28,Low
11,Wednesday,9,Clear,318,460,45.85,38.64,23.86,Low
9,Saturday,7,Cloudy,376,533,39.34,41.36,18.4,Low
15,Friday,3,Foggy,10,20,43.86,1.0,0.79,Low
7,Tuesday,9,Clear,477,715,37.67,58.87,32.1,Low
5,Monday,3,Rainy,418,610,36.72,50.27,27.98,Low
11,Sunday,5,Cloudy,299,403,49.19,28.85,18.54,Low
23,Thursday,9,Rainy,131,175,47.9,10.03,4.36,Low
20,Thursday,12,Cloudy,10,20,58.81,1.0,0.8,Low
7,Wednesday,3,Cloudy,534,825,29.1,55.96,32.94,Low
3,Thursday,7,Clear,487,748,40.8,59.26,25.49,Low
7,Friday,12,Clear,471,731,31.1,54.51,31.63,Low
17,Sunday,1,Cloudy,10,20,61.07,3.9,5.88,Low
4,Saturday,4,Rainy,474,715,26.86,53.63,26.53,Low
8,Friday,4,Clear,478,644,43.55,54.3,28.5,Low
3,Wednesday,7,Clear,431,659,41.39,39.98,26.88,Low
21,Friday,8,Rainy,67,118,48.31,11.42,9.76,Low
16,Saturday,1,Cloudy,10,20,55.32,1.0,3.65,Low
8,Tuesday,5,Foggy,383,583,31.48,42.39,27.34,Low
0,Wednesday,7,Rainy,165,202,46.14,15.97,15.56,Low
20,Tuesday,12,Clear,10,20,57.51,1.84,2.71,Low
19,Monday,4,Clear,10,37,59.96,3.98,2.43,Low
12,Tuesday,4,Cloudy,176,279,52.68,14.51,12.12,Low
15,Monday,4,Clear,10,20,52.68,2.37,2.52,Low
12,Monday,12,Clear,211,340,53.08,21.2,9.7,Low
13,Tuesday,6,Clear,154,235,54.91,23.72,12.06,Low
2,Wednesday,7,Rainy,365,532,39.68,34.98,20.95,Low
5,Saturday,2,Cloudy,477,710,29.57,47.99,26.03,Low
17,Friday,5,Clear,10,20,59.53,1.0,1.05,Low
18,Friday,4,Clear,10,20,60.53,1.0,0.0,Low
4,Saturday,3,Rainy,469,741,32.24,50.99,32.9,Low
14,Sunday,7,Cloudy,10,20,58.65,1.0,1.18,Low
1,Sunday,11,Clear,287,405,39.45,32.33,16.57,Low
9,Monday,12,Clear,390,539,41.96,48.37,24.75,Low
23,Monday,6,Clear,174,181,61.32,19.69,13.88,Low
17,Wednesday,7,Cloudy,10,36,59.56,1.92,4.36,Low
12,Thursday,5,Clear,241,385,56.14,21.49,11.02,Low
4,Tuesday,6,Clear,444,701,43.02,48.66,26.75,Low
22,Monday,5,Rainy,36,49,57.01,1.89,3.53,Low
23,Friday,7,Foggy,197,285,39.7,25.3,13.06,Low
0,Wednesday,2,Clear,221,316,51.56,20.73,7.68,Low
21,Tuesday,11,Cloudy,10,20,57.78,1.0,3.78,Low
0,Wednesday,5,Clear,244,399,47.82,28.7,14.49,Low
17,Tuesday,6,Rainy,10,20,55.21,11.01,8.64,Low
14,Tuesday,6,Clear,61,102,54.34,5.9,5.75,Low
16,Saturday,5,Rainy,32,34,59.83,4.4,4.04,Low
10,Monday,10,Clear,278,456,41.46,35.63,18.95,Low
20,Wednesday,7,Cloudy,10,20,60.56,3.66,1.58,Low
21,Wednesday,10,Rainy,10,20,58.39,3.69,0.14,Low
16,Saturday,8,Rainy,10,26,50.62,1.0,0.63,Low
12,Friday,7,Foggy,137,258,35.59,14.84,11.94,Low
0,Friday,5,Foggy,123,177,47.63,9.89,11.24,Low
1,Sunday,1,Clear,332,472,44.42,39.32,25.67,Low
8,Monday,5,Clear,423,664,42.92,49.32,27.43,Low
2,Monday,10,Cloudy,311,476,40.9,38.14,25.71,Low
0,Thursday,2,Clear,277,454,54.81,28.34,15.07,Low
20,Saturday,5,Rainy,10,20,40.91,5.26,1.2,Low
15,Friday,5,Cloudy,10,51,58.38,6.78,10.86,Low
22,Tuesday,2,Clear,41,20,64.66,1.0,3.65,Low
5,Wednesday,5,Rainy,428,633,31.13,46.07,21.64,Low
16,Monday,4,Clear,10,27,61.01,6.99,9.81,Low
4,Wednesday,1,Rainy,480,725,25.83,50.09,26.68,Low
4,Wednesday,3,Clear,468,733,36.7,54.64,28.47,Low
5,Thursday,1,Clear,483,669,27.49,53.71,33.56,Low
2,Friday,12,Rainy,335,506,31.66,38.88,26.68,Low
20,Monday,11,Foggy,10,50,43.57,1.31,0.0,Low
22,Wednesday,5,Foggy,42,64,49.25,8.4,10.64,Low
4,Monday,4,Rainy,456,649,26.34,45.56,29.2,Low
20,Tuesday,7,Clear,10,45,56.79,1.0,0.0,Low
4,Thursday,5,Rainy,470,685,26.61,59.54,32.79,Low
9,Tuesday,10,Clear,494,716,31.56,65.39,40.41,Medium
9,Monday,4,Cloudy,324,457,42.15,35.97,15.68,Low
18,Sunday,2,Foggy,10,20,49.39,9.69,11.01,Low
16,Monday,4,Rainy,10,20,55.63,1.0,4.84,Low
20,Friday,12,Cloudy,10,20,59.76,1.0,3.7,Low
13,Wednesday,2,Clear,99,116,57.81,18.29,11.27,Low
8,Wednesday,8,Rainy,462,672,27.26,55.35,37.26,Medium
13,Tuesday,3,Clear,127,161,51.68,22.14,19.36,Low
0,Thursday,9,Cloudy,124,187,46.44,16.12,8.37,Low
18,Sunday,4,Clear,10,25,55.05,1.0,4.15,Low
12,Saturday,6,Rainy,214,327,42.27,24.9,20.44,Low
12,Wednesday,10,Cloudy,156,240,45.6,23.34,11.51,Low
3,Friday,5,Clear,356,584,49.54,38.89,22.19,Low
0,Tuesday,10,Clear,87,143,55.46,8.23,8.93,Low
16,Tuesday,1,Foggy,10,38,55.01,3.53,0.0,Low
7,Saturday,9,Clear,432,635,41.26,45.2,27.51,Low
1,Friday,1,Clear,228,370,44.71,26.81,12.38,Low
7,Thursday,8,Clear,476,700,35.89,53.21,29.97,Low
6,Friday,9,Clear,470,717,28.13,49.77,31.87,Low
1,Thursday,9,Cloudy,219,287,47.0,29.24,9.58,Low
21,Friday,1,Rainy,10,20,48.07,4.34,6.61,Low
21,Friday,2,Clear,10,20,53.93,1.0,8.47,Low
2,Monday,12,Clear,387,608,48.26,42.93,21.93,Low
17,Tuesday,1,Clear,10,41,64.65,1.0,3.78,Low
11,Friday,10,Clear,264,382,51.82,26.14,19.01,Low
0,Saturday,2,Clear,200,361,53.91,13.73,3.94,Low
21,Friday,10,Clear,66,90,50.53,4.91,6.71,Low
11,Wednesday,12,Clear,199,250,48.05,18.99,14.65,Low
4,Tuesday,8,Rainy,439,635,28.35,49.35,30.12,Low
16,Wednesday,5,Clear,10,20,50.95,3.31,3.88,Low
15,Tuesday,12,Rainy,10,26,48.71,1.0,0.0,Low
14,Wednesday,11,Rainy,42,25,47.17,6.53,9.56,Low
22,Friday,7,Rainy,60,73,49.63,1.89,3.06,Low
14,Friday,2,Rainy,57,94,61.81,5.71,1.76,Low
4,Monday,8,Rainy,509,767,26.45,53.54,29.6,Low
20,Saturday,11,Cloudy,10,20,57.13,4.84,5.28,Low
13,Wednesday,6,Rainy,163,248,42.6,18.69,7.01,Low
1,Thursday,8,Rainy,224,324,44.49,24.34,14.47,Low
10,Monday,1,Foggy,409,565,22.18,42.32,24.42,Low
18,Wednesday,1,Rainy,10,20,60.98,1.0,6.15,Low
6,Wednesday,12,Clear,466,713,36.08,60.92,27.61,Low
5,Monday,7,Clear,503,750,32.87,53.38,32.55,Low
1,Friday,8,Clear,292,449,50.25,34.84,23.66,Low
5,Wednesday,3,Cloudy,436,636,30.75,47.88,21.68,Low
17,Friday,5,Rainy,10,44,55.1,3.37,0.0,Low
1,Monday,12,Cloudy,352,451,46.43,43.3,29.16,Low
17,Friday,1,Rainy,10,20,50.29,1.0,0.0,Low
14,Tuesday,7,Clear,124,226,64.06,17.33,19.51,Low
18,Thursday,5,Clear,10,59,62.72,14.89,3.62,Low
1,Sunday,8,Rainy,160,233,47.28,20.62,12.93,Low
19,Wednesday,8,Rainy,10,20,58.33,9.18,6.23,Low
5,Saturday,9,Cloudy,441,702,43.1,51.41,27.4,Low
0,Thursday,7,Clear,168,250,52.91,14.01,10.28,Low
23,Sunday,11,Rainy,117,170,50.13,14.38,10.75,Low
14,Friday,1,Rainy,10,20,58.48,1.0,1.71,Low
22,Wednesday,3,Rainy,59,51,43.24,3.58,1.06,Low
9,Friday,8,Rainy,359,555,25.4,39.53,26.84,Low
18,Tuesday,3,Foggy,10,35,47.21,1.0,4.5,Low
16,Monday,8,Clear,10,21,50.73,1.0,2.81,Low
4,Wednesday,1,Rainy,506,736,25.13,69.76,40.65,Medium
3,Sunday,5,Rainy,467,668,30.22,55.93,33.58,Low
9,Sunday,4,Cloudy,466,656,32.32,53.0,27.31,Low
23,Tuesday,5,Foggy,94,124,42.59,10.89,9.48,Low
16,Tuesday,8,Clear,10,20,54.49,7.12,3.74,Low
9,Wednesday,10,Clear,400,548,43.94,54.82,32.09,Low
16,Friday,4,Cloudy,10,34,51.18,4.54,3.64,Low
19,Saturday,11,Rainy,10,20,40.99,1.72,5.13,Low
23,Sunday,4,Cloudy,116,203,50.16,20.25,10.82,Low
4,Sunday,3,Clear,473,721,40.93,53.27,31.07,Low
1,Tuesday,7,Rainy,232,356,40.8,27.95,13.49,Low
5,Thursday,3,Foggy,441,711,20.13,54.01,32.08,Low
20,Tuesday,12,Cloudy,10,20,57.01,1.0,5.2,Low
1,Saturday,3,Clear,276,440,48.39,20.29,13.61,Low
12,Friday,11,Rainy,221,322,41.4,22.38,14.18,Low
10,Friday,10,Rainy,383,651,31.53,46.42,31.79,Low
10,Thursday,5,Clear,295,431,47.68,36.29,23.31,Low
15,Sunday,5,Rainy,10,20,42.81,7.82,8.81,Low
10,Tuesday,6,Rainy,301,464,32.48,31.46,20.78,Low
18,Friday,8,Cloudy,10,20,49.97,9.02,8.86,Low
14,Saturday,10,Clear,43,41,64.59,5.7,9.37,Low
22,Wednesday,6,Clear,50,45,61.06,8.58,4.67,Low
22,Monday,12,Clear,52,121,58.33,10.3,9.89,Low
15,Monday,1,Clear,10,20,52.25,1.0,3.48,Low
10,Monday,8,Clear,428,648,42.32,42.53,22.48,Low
21,Sunday,8,Foggy,10,46,54.43,1.0,2.04,Low
15,Tuesday,9,Clear,10,48,62.36,6.47,5.5,Low
7,Thursday,9,Cloudy,434,632,35.12,46.69,23.61,Low
3,Friday,2,Cloudy,354,524,42.46,49.47,29.68,Low
7,Wednesday,2,Rainy,474,698,29.66,52.68,29.4,Low
3,Saturday,3,Cloudy,377,519,42.78,34.53,19.86,Low
